kext,Esc
1.000000000000000e-10,9.999999403953552e-01
1.384886371393875e-10,9.999999403953552e-01
1.917910261672485e-10,1.000000000000000e+00
2.656087782946684e-10,1.000000000000000e+00
3.678379771828634e-10,1.000000000000000e+00
5.094138014816385e-10,9.999998211860657e-01
7.054802310718631e-10,9.999999403953552e-01
9.770099572992246e-10,9.999998807907104e-01
1.353047774579807e-09,1.000000000000000e+00
1.873817422860387e-09,9.999998211860657e-01
2.595024211399732e-09,9.999995827674866e-01
3.593813663804626e-09,9.999998211860657e-01
4.977023564332114e-09,9.999994635581970e-01
6.892612104349681e-09,9.999998211860657e-01
9.545484566618328e-09,9.999994039535522e-01
1.321941148466029e-08,9.999991655349731e-01
1.830738280295370e-08,9.999992251396179e-01
2.535364493970111e-08,9.999991059303284e-01
3.511191734215128e-08,9.999988079071045e-01
4.862601580065354e-08,9.999979138374329e-01
6.734150657750828e-08,9.999969005584717e-01
9.326033468832200e-08,9.999951124191284e-01
1.291549665014883e-07,9.999943971633911e-01
1.788649529057435e-07,9.999912381172180e-01
2.477076355991709e-07,9.999883174896240e-01
3.430469286314912e-07,9.999832510948181e-01
4.750810162102793e-07,9.999770522117615e-01
6.579332246575682e-07,9.999649524688721e-01
9.111627561154887e-07,9.999572038650513e-01
1.261856883066021e-06,9.999387860298157e-01
1.747528400007683e-06,9.999126791954041e-01
2.420128264794383e-06,9.998763799667358e-01
3.351602650938841e-06,9.998294711112976e-01
4.641588833612773e-06,9.997673630714417e-01
6.428073117284319e-06,9.996610283851624e-01
8.902150854450375e-06,9.995486140251160e-01
1.232846739442066e-05,9.993712902069092e-01
1.707352647470689e-05,9.991454482078552e-01
2.364489412645407e-05,9.988209009170532e-01
3.274549162877725e-05,9.983341097831726e-01
4.534878508128582e-05,9.977141022682190e-01
6.280291441834246e-05,9.968237280845642e-01
8.697490026177834e-05,9.956092834472656e-01
1.204503540258781e-04,9.939050078392029e-01
1.668100537200059e-04,9.916230440139771e-01
2.310129700083158e-04,9.883918762207031e-01
3.199267137797384e-04,9.839820265769958e-01
4.430621457583878e-04,9.780172109603882e-01
6.135907273413163e-04,9.696750640869141e-01
8.497534359086438e-04,9.582871794700623e-01
1.176811952434997e-03,9.430260658264160e-01
1.629750834620644e-03,9.224182963371277e-01
2.257019719633917e-03,8.948834538459778e-01
3.125715849688235e-03,8.589293956756592e-01
4.328761281083053e-03,8.126478195190430e-01
5.994842503189409e-03,7.547967433929443e-01
8.302175681319735e-03,6.850824356079102e-01
1.149756995397736e-02,6.041116118431091e-01
1.592282793341094e-02,5.161765813827515e-01
2.205130739903041e-02,4.256641864776611e-01
3.053855508833412e-02,3.397176861763000e-01
4.229242874389499e-02,2.638858556747437e-01
5.857020818056673e-02,2.002031803131104e-01
8.111308307896856e-02,1.497299671173096e-01
1.123324032978027e-01,1.109908223152161e-01
1.555676143930472e-01,8.169329166412354e-02
2.154434690031878e-01,5.980592966079712e-02
2.983647240283334e-01,4.347556829452515e-02
4.132012400115335e-01,3.169733285903931e-02
5.722367659350220e-01,2.295905351638794e-02
7.924828983539153e-01,1.665711402893066e-02
1.097498765493055e+00,1.208961009979248e-02
1.519911082952933e+00,8.735179901123047e-03
2.104904144512022e+00,6.348192691802979e-03
2.915053062825170e+00,4.594326019287109e-03
4.037017258596550e+00,3.322064876556396e-03
5.590810182512223e+00,2.395391464233398e-03
7.742636826811277e+00,1.727700233459473e-03
1.072267222010321e+01,1.260817050933838e-03
1.484968262254464e+01,9.061098098754883e-04
2.056512308348652e+01,6.363391876220703e-04
2.848035868435793e+01,4.636645317077637e-04
3.944206059437648e+01,3.363490104675293e-04
5.462277217684337e+01,2.378821372985840e-04
7.564633275546291e+01,1.753568649291992e-04
1.047615752789662e+02,1.288056373596191e-04
1.450828778495937e+02,8.952617645263672e-05
2.009233002565046e+02,6.330013275146484e-05
2.782559402207126e+02,4.684925079345703e-05
3.853528593710520e+02,3.409385681152344e-05
5.336699231206302e+02,2.628564834594727e-05
7.390722033525775e+02,1.555681228637695e-05
1.023531021899027e+03,1.209974288940430e-05
1.417474162926802e+03,9.059906005859375e-06
1.963040650040268e+03,5.066394805908203e-06
2.718588242732940e+03,3.755092620849609e-06
3.764935806792456e+03,3.337860107421875e-06
5.214008287999673e+03,2.443790435791016e-06
7.220809018385457e+03,1.609325408935547e-06
1.000000000000000e+04,1.192092895507812e-06
