kext,Esc
4.111829402435828e-07,9.999812096357346e-01
4.457822860419706e-07,9.999798685312271e-01
4.832930238571752e-07,9.999777078628540e-01
5.239601353002645e-07,9.999769628047943e-01
5.680492161728429e-07,9.999754726886749e-01
6.158482110660254e-07,9.999725371599197e-01
6.676692939187570e-07,9.999691396951675e-01
7.238509068173247e-07,9.999673515558243e-01
7.847599703514607e-07,9.999659359455109e-01
8.507942799627444e-07,9.999605715274811e-01
9.223851039358476e-07,9.999575018882751e-01
1.000000000000000e-06,9.999549984931946e-01
1.084145868935835e-06,9.999513328075409e-01
1.175372265130637e-06,9.999477267265320e-01
1.274274985703132e-06,9.999441504478455e-01
1.381499961638321e-06,9.999386817216873e-01
1.497747476345200e-06,9.999334514141083e-01
1.623776739188721e-06,9.999286979436874e-01
1.760410843865553e-06,9.999219030141830e-01
1.908542144006686e-06,9.999121576547623e-01
2.069138081114790e-06,9.999078959226608e-01
2.243247502898416e-06,9.999013096094131e-01
2.432007513267945e-06,9.998916238546371e-01
2.636650898730355e-06,9.998808354139328e-01
2.858514179684471e-06,9.998725056648254e-01
3.099046339199427e-06,9.998590350151062e-01
3.359818286283781e-06,9.998488128185272e-01
3.642533115449638e-06,9.998355358839035e-01
3.949037229576702e-06,9.998213797807693e-01
4.281332398719396e-06,9.998048096895218e-01
4.641588833612773e-06,9.997935146093369e-01
5.032159359259988e-06,9.997764527797699e-01
5.455594781168514e-06,9.997500777244568e-01
5.914660544591746e-06,9.997365772724152e-01
6.412354795576917e-06,9.997117370367050e-01
6.951927961775606e-06,9.996874332427979e-01
7.536903980898542e-06,9.996590763330460e-01
8.171103315457188e-06,9.996314793825150e-01
8.858667904100815e-06,9.996037185192108e-01
9.604088212505370e-06,9.995700269937515e-01
1.041223256048304e-05,9.995376169681549e-01
1.128837891684688e-05,9.994919896125793e-01
1.223824936968192e-05,9.994506537914276e-01
1.326804749714724e-05,9.994059056043625e-01
1.438449888287663e-05,9.993509799242020e-01
1.559489504058283e-05,9.992984235286713e-01
1.690714103473578e-05,9.992471039295197e-01
1.832980710832434e-05,9.991777539253235e-01
1.987218465488053e-05,9.991092383861542e-01
2.154434690031882e-05,9.990405291318893e-01
2.335721469090121e-05,9.989472031593323e-01
2.532262781698795e-05,9.988619834184647e-01
2.745342233838714e-05,9.987677633762360e-01
2.976351441631313e-05,9.986616075038910e-01
3.226799119945805e-05,9.985459744930267e-01
3.498320935775033e-05,9.984398186206818e-01
3.792690190732246e-05,9.982959777116776e-01
4.111829402435829e-05,9.981644898653030e-01
4.457822860419707e-05,9.980020523071289e-01
4.832930238571752e-05,9.978341311216354e-01
5.239601353002644e-05,9.976606816053391e-01
5.680492161728429e-05,9.974547326564789e-01
6.158482110660255e-05,9.972367286682129e-01
6.676692939187557e-05,9.970144331455231e-01
7.238509068173247e-05,9.967610239982605e-01
7.847599703514606e-05,9.964970797300339e-01
8.507942799627444e-05,9.961981326341629e-01
9.223851039358476e-05,9.958793967962265e-01
1.000000000000000e-04,9.955298155546188e-01
1.084145868935833e-04,9.951707869768143e-01
1.175372265130634e-04,9.947509467601776e-01
1.274274985703132e-04,9.943263381719589e-01
1.381499961638321e-04,9.938359558582306e-01
1.497747476345200e-04,9.933226555585861e-01
1.623776739188721e-04,9.927541315555573e-01
1.760410843865552e-04,9.921406209468842e-01
1.908542144006686e-04,9.915251880884171e-01
2.069138081114790e-04,9.907782077789307e-01
2.243247502898416e-04,9.900071173906326e-01
2.432007513267945e-04,9.891934096813202e-01
2.636650898730356e-04,9.882768392562866e-01
2.858514179684471e-04,9.873020201921463e-01
3.099046339199427e-04,9.862543493509293e-01
3.359818286283781e-04,9.851087480783463e-01
3.642533115449638e-04,9.838721901178360e-01
3.949037229576694e-04,9.825049191713333e-01
4.281332398719387e-04,9.810673743486404e-01
4.641588833612772e-04,9.794896394014359e-01
5.032159359259988e-04,9.778068363666534e-01
5.455594781168515e-04,9.759916216135025e-01
5.914660544591746e-04,9.739952832460403e-01
6.412354795576917e-04,9.718245714902878e-01
6.951927961775605e-04,9.695353955030441e-01
7.536903980898542e-04,9.670441001653671e-01
8.171103315457186e-04,9.643413275480270e-01
8.858667904100814e-04,9.614157825708389e-01
9.604088212505369e-04,9.583406001329422e-01
1.041223256048304e-03,9.549015313386917e-01
1.128837891684688e-03,9.512827396392822e-01
1.223824936968192e-03,9.473114311695099e-01
1.326804749714724e-03,9.430698603391647e-01
1.438449888287660e-03,9.385309517383575e-01
1.559489504058280e-03,9.336110502481461e-01
1.690714103473578e-03,9.283194541931152e-01
1.832980710832434e-03,9.226547181606293e-01
1.987218465488053e-03,9.165712893009186e-01
2.154434690031882e-03,9.099050313234329e-01
2.335721469090121e-03,9.029629528522491e-01
2.532262781698795e-03,8.955269902944565e-01
2.745342233838714e-03,8.873658180236816e-01
2.976351441631313e-03,8.788448274135590e-01
3.226799119945805e-03,8.696658462285995e-01
3.498320935775033e-03,8.599401116371155e-01
3.792690190732246e-03,8.495239913463593e-01
4.111829402435829e-03,8.384007513523102e-01
4.457822860419706e-03,8.266596496105194e-01
4.832930238571752e-03,8.142909556627274e-01
5.239601353002634e-03,8.010752350091934e-01
5.680492161728417e-03,7.871809303760529e-01
6.158482110660254e-03,7.725659012794495e-01
6.676692939187556e-03,7.571050226688385e-01
7.238509068173248e-03,7.410469353199005e-01
7.847599703514606e-03,7.240565568208694e-01
8.507942799627445e-03,7.064586877822876e-01
9.223851039358476e-03,6.880983114242554e-01
1.000000000000000e-02,6.690863668918610e-01
1.084145868935833e-02,6.492694169282913e-01
1.175372265130637e-02,6.289951801300049e-01
1.274274985703132e-02,6.081796288490295e-01
1.381499961638324e-02,5.868602693080902e-01
1.497747476345200e-02,5.651030987501144e-01
1.623776739188718e-02,5.430312603712082e-01
1.760410843865553e-02,5.206271708011627e-01
