z,heating_rate
25,-0.213566
75,-0.108834
125,-0.080257
175,-0.0798864
225,-0.0371929
275,-0.0311333
325,-0.0512986
375,-0.0430688
425,-0.0698865
475,-0.0443102
525,-0.0235536
575,-0.0433943
625,0.0174569
675,-0.0599555
725,-0.0124791
775,-0.0179743
825,-0.018862
875,-0.0304555
925,-0.0306286
975,-0.0343083
1025,-0.0186273
1075,0.0298144
1125,0.012079
1175,-0.018532
1225,0.00369945
1275,0.0293802
1325,-0.00204142
1375,-0.00477892
1425,-0.000134582
1475,0.0687965
1525,0.0499357
1575,0.0701736
1625,0.0649251
1675,0.0708784
1725,0.0482798
1775,0.0336792
1825,-0.0525777
1875,0.0284946
1925,-0.0389157
1975,-0.0932346
2025,-0.0539417
2075,-0.123344
2125,-0.0857652
2175,-0.125196
2225,-0.17059
2275,-0.196786
2325,-0.209895
2375,-0.268903
2425,-0.384872
2475,-0.38486
2525,-0.57974
2575,-0.668411
2625,-0.883309
2675,-1.10784
2725,-1.38464
2775,-1.69864
2825,-1.94257
2875,-2.08121
2925,-2.05387
2975,-1.93744
3025,-1.74744
3075,-1.53946
3125,-1.31984
3175,-1.0508
3225,-0.845686
3275,-0.680439
3325,-0.546967
3375,-0.43166
3425,-0.317018
3475,-0.24944
3525,-0.209167
3575,-0.186368
3625,-0.168415
3675,-0.145542
3725,-0.139992
3775,-0.129956
3825,-0.122644
3875,-0.121679
3925,-0.116385
3975,-0.113811
4025,-0.114955
4075,-0.10974
4125,-0.113817
4175,-0.108794
4225,-0.107266
4275,-0.0984261
4325,-0.093667
4375,-0.0907675
4425,-0.0841778
4475,-0.0809618
4525,-0.0777746
4575,-0.0714964
4625,-0.0670785
4675,-0.0621543
4725,-0.0581068
4775,-0.055649
4825,-0.0513155
4875,-0.0461638
4925,-0.0460735
4975,-0.0395328
5025,-0.0366006
5075,-0.0339318
5125,-0.0348269
5175,-0.0329446
5225,-0.0306163
5275,-0.0303102
5325,-0.0283188
5375,-0.0276873
5425,-0.0261336
5475,-0.0281413
5525,-0.0262838
5575,-0.0205198
5625,-0.0264177
5675,-0.0275868
5725,-0.0233261
5775,-0.0219129
5825,-0.0221593
5875,-0.0219932
5925,-0.0176407
5975,-0.0193134
6025,-0.0185595
6075,-0.0192597
6125,-0.0192002
6175,-0.0162661
6225,-0.0143675
6275,-0.0158738
6325,-0.0138255
6375,-0.0131322
6409.67,-0.012769
6690.35,-0.0172443
6970.79,-0.0125838
7251.04,-0.00829804
7531.27,-0.00540944
7811.65,-0.00379387
8092.45,-0.00258733
8373.88,-0.00225988
8655.95,-0.00179641
8938.65,-0.00126572
9222.22,-0.00107934
9507.06,-0.000833788
9793.87,-0.000707966
10083.7,-0.000472611
10377.1,-0.000249226
10674.3,-0.00024651
10974.6,-0.000115783
11278.1,-0.000113227
11584.5,-8.07545e-05
11893.7,-8.28909e-05
12205.2,-5.68597e-05
12518.6,-0.000115459
12834,-6.83511e-05
13151.7,-8.4701e-05
13472.3,-7.63762e-05
13796.1,-4.59676e-05
14123.3,-1.39203e-05
14453.6,-8.11247e-05
14786.5,-2.51382e-05
15121.6,-3.644e-05
15458.7,-1.82109e-05
15797.8,-3.08511e-05
16139.1,-4.45065e-05
16483.3,-7.50306e-06
16830.8,-6.62015e-06
17181.6,-1.6446e-05
17535.5,-1.62207e-05
17892.6,-1.59747e-05
18254.1,4.60359e-07
18621.8,2.76576e-05
18997.3,2.73239e-06
19381.7,4.76484e-06
19774.9,6.16092e-06
20177,-4.85478e-06
20588.7,1.64757e-06
21010.5,-5.45304e-06
21443.3,-6.25784e-06
21887.6,-2.13132e-05
22343.7,-6.50346e-07
22811.6,-4.07679e-06
23291.5,-4.78691e-06
23784,-5.84363e-06
24290.1,-2.41829e-06
24810.4,-1.14558e-06
25345.8,1.02047e-06
25897.4,3.74371e-06
26467.1,-7.75795e-07
27056.3,-3.81496e-06
27664.2,-8.62692e-08
28290.6,1.49968e-06
28938,-5.02483e-06
29609.6,-4.88703e-06
30306.9,0
31030.3,-2.02798e-06
31780.4,3.25996e-07
32558.4,2.11768e-06
33365.8,8.95463e-07
34205.9,1.97009e-07
35087.9,0
36021,5.68217e-07
37006.8,1.09237e-06
38047.9,8.38774e-08
39155.3,2.55795e-07
40334.3,1.38754e-07
41583.1,8.25773e-08
42906.9,0
44312.5,4.8131e-07
45804,3.59199e-07
47381.4,3.53412e-07
49039.3,6.72036e-07
50772.1,-7.42417e-07
