z,heating_rate
25,-0.171925
75,-0.0347628
125,-0.220735
175,-0.176254
225,0.00415017
275,-0.169528
325,-0.250272
375,-0.00037303
425,-0.0121315
475,0.103802
525,-0.172417
575,-0.213147
625,-0.284147
675,-0.158655
725,-0.0431313
775,0.17167
825,-0.0599616
875,0.101526
925,0.122059
975,0.154073
1025,-0.00355315
1075,-0.129406
1125,0.0551137
1175,0.0563719
1225,-0.125765
1275,-0.149957
1325,0.361804
1375,0.175984
1425,0.174185
1475,0.21281
1525,0.239298
1575,0.75765
1625,0.30838
1675,0.16086
1725,0.708429
1775,0.555274
1825,-0.546665
1875,-0.0921913
1925,-0.2064
1975,-0.653191
2025,-0.0496095
2075,0.69955
2125,0.151934
2175,-0.0471683
2225,-0.288326
2275,0.190036
2325,-0.208552
2375,-0.543179
2425,-0.368708
2475,-0.79774
2525,0.111343
2575,-0.995996
2625,-0.262171
2675,-1.27568
2725,-1.53666
2775,-2.03086
2825,-2.98844
2875,-2.28276
2925,-2.32704
2975,-2.31577
3025,-2.34918
3075,-2.08308
3125,-1.51834
3175,-1.17028
3225,-0.932113
3275,-0.785349
3325,-0.560245
3375,-0.457599
3425,-0.373982
3475,-0.283872
3525,-0.258618
3575,-0.157253
3625,-0.188903
3675,-0.170238
3725,-0.184065
3775,-0.162931
3825,-0.112222
3875,-0.133172
3925,-0.143107
3975,-0.130696
4025,-0.118171
4075,-0.118923
4125,-0.121177
4175,-0.128596
4225,-0.127314
4275,-0.13239
4325,-0.102745
4375,-0.0998262
4425,-0.125482
4475,-0.0835522
4525,-0.0524572
4575,-0.0767493
4625,-0.084053
4675,-0.0909735
4725,-0.0805108
4775,-0.0749182
4825,-0.0886275
4875,-0.0680996
4925,-0.0480994
4975,-0.0554013
5025,-0.0695607
5075,-0.038944
5125,-0.0651373
5175,-0.0438452
5225,-0.05675
5275,-0.0396517
5325,-0.0408867
5375,-0.0438067
5425,-0.0435683
5475,-0.0478043
5525,-0.0407241
5575,-0.0129122
5625,-0.0391548
5675,-0.048703
5725,-0.0461259
5775,-0.0243345
5825,-0.0361727
5875,-0.0403282
5925,-0.0464437
5975,-0.0406484
6025,-0.0165814
6075,-0.0431505
6125,-0.0115298
6175,-0.0243818
6225,-0.0267016
6275,-0.0391863
6325,-0.0261122
6375,-0.00988109
6409.67,-0.016574
6690.35,-0.0201586
6970.79,-0.0224918
7251.04,-0.0183644
7531.27,-0.0125133
7811.65,-0.00382051
8092.45,-0.0104888
8373.88,-0.00390964
8655.95,-0.00532456
8938.65,-0.00540009
9222.22,-0.00436171
9507.06,-0.00423057
9793.87,-0.00473017
10083.7,-0.00264142
10377.1,-0.00336676
10674.3,-0.00341299
10974.6,0.000244348
11278.1,-0.00283868
11584.5,-0.00359705
11893.7,-0.00312394
12205.2,-0.00282482
12518.6,-0.00192363
12834,0.000376308
13151.7,-0.00138837
13472.3,-0.000810725
13796.1,-0.00127192
14123.3,-0.000909896
14453.6,-0.0018919
14786.5,-0.000525544
15121.6,-0.00068667
15458.7,6.63485e-06
15797.8,-0.000966584
16139.1,-0.000655762
16483.3,0.00121879
16830.8,-0.000568594
17181.6,-0.00090823
17535.5,-0.000286236
17892.6,-0.000222225
18254.1,-1.7167e-05
18621.8,0.000106309
18997.3,0.000276363
19381.7,-0.000114552
19774.9,4.3876e-06
20177,-0.000202228
20588.7,4.33801e-05
21010.5,-3.95263e-06
21443.3,-0.00031892
21887.6,-0.000113883
22343.7,-0.000272126
22811.6,7.44183e-05
23291.5,-0.000181516
23784,1.51801e-05
24290.1,0.000108903
24810.4,-0.000154647
25345.8,-9.55053e-05
25897.4,-0.000105607
26467.1,-0.000105655
27056.3,-4.39217e-05
27664.2,-8.43354e-05
28290.6,-6.39316e-05
28938,-5.68736e-05
29609.6,-2.59425e-05
30306.9,-5.25473e-05
31030.3,-4.18562e-05
31780.4,-1.81358e-05
32558.4,0.000139629
33365.8,-2.68714e-05
34205.9,-1.89776e-05
35087.9,-1.22556e-05
36021,-1.56558e-05
37006.8,-1.02886e-05
38047.9,7.09726e-05
39155.3,-5.27982e-06
40334.3,-6.45058e-06
41583.1,-3.81281e-06
42906.9,-3.71903e-06
44312.5,-2.61285e-06
45804,-2.32817e-06
47381.4,-1.55683e-06
49039.3,-1.16678e-06
50772.1,-8.06558e-07
