z,heating_rate
25,2.99149
75,2.44521
125,2.06642
175,1.77427
225,1.54705
275,1.3566
325,1.20092
375,1.07072
425,0.96098
475,0.866316
525,0.785745
575,0.714119
625,0.653047
675,0.598816
725,0.551938
775,0.51006
825,0.474047
875,0.441349
925,0.412383
975,0.388927
1025,1.104
1075,0.122184
1125,0.0996458
1175,0.0951112
1225,0.071661
1275,0.0626791
1325,0.0325078
1375,-2.05273
1425,0.154629
1475,0.143686
1525,0.130822
1575,0.120807
1625,0.112242
1675,0.103785
1725,0.0961284
1775,0.0892926
1825,0.0836236
1875,0.0767915
1925,0.0717118
1975,0.0667861
2025,0.0631391
2075,0.0585292
2125,0.0544411
2175,0.0509346
2225,0.0482521
2275,0.0442912
2325,0.0419246
2375,0.0396966
2425,0.0367505
2475,0.0344936
2525,0.0327529
2575,0.0300917
2625,0.0283991
2675,0.0269761
2725,0.0253008
2775,0.023431
2825,0.0221562
2875,0.0206562
2925,0.0198647
2975,0.0184263
3025,0.0173306
3075,0.0163582
3125,0.0152972
3175,0.014708
3225,0.0132233
3275,0.0126244
3325,0.0120718
3375,0.0114363
3425,0.0105929
3475,0.0104677
3525,0.00942211
3575,0.00870384
3625,0.00840153
3675,0.00798556
3725,0.00753113
3775,0.00715564
3825,0.00675895
3875,0.00640272
3925,0.00597329
3975,0.00558432
4025,0.00519151
4075,0.00481408
4125,0.00482948
4175,0.00437503
4225,0.00431726
4275,0.00395333
4325,0.00366833
4375,0.00357011
4425,0.00351043
4475,0.00317151
4525,0.00295583
4575,0.00283837
4625,0.00257072
4675,0.00251294
4725,0.00243399
4775,0.00222218
4825,0.00210665
4875,0.00199303
4925,0.00173885
4975,0.00166182
