z,heating_rate
25,-0.806789
75,-0.14134
125,1.03981
175,0.644345
225,-1.5027
275,0.970255
325,-0.42018
375,-0.416895
425,0.298213
475,-0.24702
525,0.166106
575,-0.0227358
625,0.00952589
675,0.136578
725,-0.427146
775,0.584383
825,-0.608262
875,0.301965
925,-0.187205
975,-0.505796
1025,0.873349
1075,-0.257838
1125,0.529385
1175,-0.386092
1225,-0.100758
1275,-0.00933975
1325,0.415407
1375,-0.0766442
1425,-0.259998
1475,0.208048
1525,0.0268263
1575,-0.346605
1625,0.21504
1675,0.335271
1725,-0.645913
1775,0.123701
1825,-0.197371
1875,0.154105
1925,0.101762
1975,0.0781535
2025,-0.113609
2075,0.316583
2125,-0.373094
2175,0.149975
2225,0.0960514
2275,0.100449
2325,-0.285007
2375,0.389913
2425,-0.299882
2475,0.119273
2525,0.160113
2575,-0.363951
2625,0.0968313
2675,-0.0383103
2725,-0.0158409
2775,0.110471
2825,-0.205338
2875,0.130723
2925,-0.0345234
2975,0.054327
3025,-0.0511962
3075,-0.019526
3125,0.0773477
3175,0.0226381
3225,-0.00639979
3275,-0.0150008
3325,-0.0522619
3375,-0.034492
3425,-0.0338652
3475,0.0650334
3525,0.0222942
3575,-0.0588521
3625,0.0591182
3675,-0.00935164
3725,-0.0406884
3775,-0.0325902
3825,0.0184039
3875,-0.00215236
3925,-0.0279435
3975,0.0335686
4025,-0.036962
4075,0.0156974
4125,-0.0204681
4175,0.0144724
4225,-0.0183364
4275,0.0133165
4325,-0.0320267
4375,-0.0241429
4425,0.00838775
4475,0.022936
4525,-0.00433675
4575,-0.0523073
4625,-0.0210318
4675,-0.00649679
4725,0.00402606
4775,-0.00994486
4825,-0.00325524
4875,0.000471105
4925,-0.0186117
4975,-0.0142195
5025,-0.00543246
5075,-0.0230389
5125,0.00215234
5175,-0.000766016
5225,-0.00191284
5275,-0.0111711
5325,-0.010276
5375,-0.0112619
5425,0.00681813
5475,0.00428022
5525,-0.00160807
5575,-0.00460079
5625,0.0197577
5675,-0.00303864
5725,-0.00179106
5775,0.00854881
5825,0.0130131
5875,0.00312024
5925,-0.00343027
5975,0.013864
6025,0.00795662
6075,0.0119531
6125,0.00950782
6175,0.0137253
6225,0.0264654
6275,0.0176294
6325,0.029177
6375,0.0392066
6409.67,-0.0504063
6690.35,-0.0208619
6970.79,-0.0193177
7251.04,-0.0135277
7531.27,-0.0115667
7811.65,-0.0108748
8092.45,-0.00432891
8373.88,-0.00512327
8655.95,-0.00488509
8938.65,-0.00272401
9222.22,-0.00283422
9507.06,-0.0027723
9793.87,-0.003872
10083.7,-0.00511157
10377.1,-0.0052884
10674.3,-0.00432036
10974.6,-0.0032905
11278.1,-0.00335902
11584.5,-0.00345315
11893.7,-0.00293018
12205.2,-0.00252376
12518.6,-0.00230894
12834,-0.00206928
13151.7,-0.0018641
13472.3,-0.00190815
13796.1,-0.00203317
14123.3,-0.00204308
14453.6,-0.00200345
14786.5,-0.00191045
15121.6,-0.00162802
15458.7,-0.00161981
15797.8,-0.00128365
16139.1,-0.00127951
16483.3,-0.00132319
16830.8,-0.00124829
17181.6,-0.0011302
17535.5,-0.000961921
17892.6,-0.000896511
18254.1,-0.000861767
18621.8,-0.000800004
18997.3,-0.000850485
19381.7,-0.000740847
19774.9,-0.000786549
20177,-0.000553399
20588.7,-0.000451817
21010.5,-0.000556411
21443.3,-0.00063051
21887.6,-0.000480824
22343.7,-0.000519841
22811.6,-0.000422523
23291.5,-0.000453307
23784,-0.000314386
24290.1,-0.000306474
24810.4,-0.000280374
25345.8,-0.000291674
25897.4,-0.000324829
26467.1,-0.000352403
27056.3,-0.000321317
27664.2,-0.000267635
28290.6,-0.000225506
28938,-0.000202529
29609.6,-0.000288756
30306.9,-0.000248081
31030.3,-0.000223684
31780.4,-0.000211638
32558.4,-0.000188915
33365.8,-0.000150733
34205.9,-0.000154068
35087.9,-0.000197304
36021,-0.000233626
37006.8,-0.000245497
38047.9,-0.00026533
39155.3,-0.000293584
40334.3,-0.000298489
41583.1,-0.000280194
42906.9,-0.00027596
44312.5,-0.000268157
45804,-0.000246024
47381.4,-0.000214341
49039.3,-0.000164242
50772.1,-0.000126527
