z,heating_rate
25,0.109915
75,-0.101731
125,0.0621225
175,0.0669488
225,-0.109215
275,0.0130928
325,0.0208121
375,-0.0571549
425,0.140882
475,-0.167871
525,0.0316029
575,0.0386011
625,0.0623888
675,-0.00594768
725,-0.0511947
775,0.021802
825,-0.0289289
875,-0.0076024
925,0.0866808
975,-0.0925448
1025,-0.0323288
1075,0.0632256
1125,0.00429831
1175,-0.0181406
1225,0.0235542
1275,0.0191236
1325,-0.0386778
1375,-0.0332328
1425,0.0892772
1475,0.00111969
1525,-0.0375419
1575,0.0122342
1625,0.00282395
1675,0.0503114
1725,-0.0532438
1775,-0.024209
1825,0.0742991
1875,-0.0444959
1925,0.0507838
1975,-0.0644051
2025,0.0284716
2075,-0.033388
2125,0.0122288
2175,-0.06687
2225,0.0276589
2275,0.0474374
2325,-0.0849734
2375,0.0388177
2425,0.0718195
2475,-0.0764865
2525,0.0214303
2575,-0.00895223
2625,0.001836
2675,0.0157876
2725,0.0306446
2775,-0.00764124
2825,-0.0548651
2875,0.00664794
2925,0.0246147
2975,0.0263581
3025,0.022367
3075,-0.0392695
3125,-0.00265485
3175,0.00798076
3225,0.00562595
3275,-0.031279
3325,-0.0313472
3375,0.0532815
3425,0.0303577
3475,-0.0291463
3525,-0.0163272
3575,-0.00919116
3625,0.0399526
3675,-0.0411517
3725,-0.0209647
3775,0.0292267
3825,-0.0206004
3875,0.0089158
3925,-0.00028956
3975,-0.011161
4025,0.00179734
4075,0.0159091
4125,-0.0375642
4175,0.044733
4225,-0.00672384
4275,-0.010626
4325,0.078094
4375,-0.0653221
4425,0.00131994
4475,-0.0154635
4525,0.0457014
4575,0.0207957
4625,-0.0495583
4675,0.0186523
4725,-0.0124118
4775,-0.00926933
4825,0.0114895
4875,0.00916386
4925,-0.00814562
4975,-0.00378748
5025,-0.00732827
5075,0.0547624
5125,-0.0522208
5175,0.0216206
5225,-0.0257911
5275,-0.00324179
5325,-0.00227991
5375,-0.00226788
5425,-0.010688
5475,0.0284399
5525,-0.0286953
5575,0.0333008
5625,-0.00845421
5675,-0.0285456
5725,0.0344762
5775,-0.0291005
5825,0.00638137
5875,0.00994497
5925,-0.00294426
5975,-0.00419432
6025,-0.00416538
6075,-0.000577674
6125,-0.0231213
6175,0.0459391
6225,-0.0131197
6275,0.0278123
6325,0.0304746
6375,0.226721
6409.67,-0.138982
6690.35,0.010114
6970.79,0.00469233
7251.04,-0.00970615
7531.27,0.0138841
7811.65,-0.00380004
8092.45,-0.00317225
8373.88,0.0118927
8655.95,-0.0119709
8938.65,0.012141
9222.22,0.00374715
9507.06,0.0064917
9793.87,0.0118046
10083.7,-0.00337423
10377.1,0.000735039
10674.3,-0.00616772
10974.6,-0.00422084
11278.1,0.00315022
11584.5,0.00252171
11893.7,-0.010859
12205.2,-0.00482825
12518.6,0.00421203
12834,0.00455188
13151.7,0.00656096
13472.3,0.00288415
13796.1,-0.00132735
14123.3,-0.00428463
14453.6,-0.00785912
14786.5,-0.00476949
15121.6,-0.000162918
15458.7,0.0017026
15797.8,0.0049544
16139.1,0.00311772
16483.3,-0.000702674
16830.8,-0.00463187
17181.6,-0.00805316
17535.5,-0.00469508
17892.6,0.00169005
18254.1,0.00267201
18621.8,-0.00113178
18997.3,-0.00801878
19381.7,-0.0085932
19774.9,-0.0077143
20177,-0.00715736
20588.7,-0.00652796
21010.5,-0.00820755
21443.3,-0.00947764
21887.6,-0.0117152
22343.7,-0.0127569
22811.6,-0.0125555
23291.5,-0.0129671
23784,-0.0126211
24290.1,-0.0130216
24810.4,-0.0128721
25345.8,-0.0121784
25897.4,-0.0121207
26467.1,-0.0121098
27056.3,-0.0117342
27664.2,-0.01032
28290.6,-0.00911912
28938,-0.0084281
29609.6,-0.00779359
30306.9,-0.0069123
31030.3,-0.00600872
31780.4,-0.00506191
32558.4,-0.00424687
33365.8,-0.00351306
34205.9,-0.00301406
35087.9,-0.00276127
36021,-0.00249992
37006.8,-0.00204645
38047.9,-0.00174411
39155.3,-0.0014766
40334.3,-0.00115305
41583.1,-0.000873617
42906.9,-0.000673807
44312.5,-0.000508081
45804,-0.000367407
47381.4,-0.000255836
49039.3,-0.000170998
50772.1,-0.000107183
