z,heating_rate
25,-0.00909605
75,-0.00772831
125,-0.00704029
175,-0.00613039
225,-0.00561662
275,-0.00530903
325,-0.00440008
375,-0.00401697
425,-0.00373134
475,-0.00243463
525,-0.0025068
575,-0.00194207
625,-0.00167874
675,-0.00118134
725,-0.00128176
775,-0.000530761
825,2.55904e-05
875,-3.4194e-05
925,0.000633538
975,0.00104236
1025,0.00128772
1075,0.0014679
1125,0.00203047
1175,0.0023055
1225,0.00256089
1275,0.00281617
1325,0.00320031
1375,0.00315074
1425,0.00324843
1475,0.00370683
1525,0.00690922
1575,0.0159459
1625,0.0281367
1675,0.033443
1725,0.0341021
1775,0.0282426
1825,0.0259089
1875,0.0199861
1925,0.018317
1975,0.0141607
2025,0.0108929
2075,0.00833398
2125,0.00771867
2175,0.00400703
2225,0.00392403
2275,0.00197165
2325,0.00066483
2375,7.28981e-05
2425,-0.00297778
2475,-0.00183698
2525,-0.00451864
2575,-0.00848611
2625,-0.0116299
2675,-0.0141765
2725,-0.0205682
2775,-0.027889
2825,-0.0305154
2875,-0.0334331
2925,-0.0328823
2975,-0.0297821
3025,-0.0267599
3075,-0.0226556
3125,-0.0194264
3175,-0.0147957
3225,-0.011638
3275,-0.00895611
3325,-0.00691771
3375,-0.00534952
3425,-0.00357424
3475,-0.00280406
3525,-0.00236298
3575,-0.0022234
3625,-0.00192194
3675,-0.00167872
3725,-0.00162544
3775,-0.0016378
3825,-0.00166983
3875,-0.00151118
3925,-0.00136416
3975,-0.00120674
4025,-0.00120394
4075,-0.00110082
4125,-0.00102424
4175,-0.000990223
4225,-0.000776937
4275,-0.000713581
4325,-0.000723065
4375,-0.000638066
4425,-0.000653611
4475,-0.000542866
4525,-0.000470639
4575,-0.000316988
4625,-0.000347513
4675,-0.000314598
4725,-0.000110878
4775,-0.000171628
4825,-0.000187897
4875,-0.000126679
4925,-0.000208599
4975,8.03079e-06
5025,-5.47739e-05
5075,4.45327e-05
5125,0.00013669
5175,1.80886e-05
5225,0.000172275
5275,0.000200922
5325,0.000206235
5375,0.000142192
5425,0.000330003
5475,0.000337123
5525,0.000475187
5575,0.000523923
5625,0.000493705
5675,0.000612446
5725,0.000691505
5775,0.000731317
5825,0.000727318
5875,0.00077785
5925,0.000911799
5975,0.00082962
6025,0.000950399
6075,0.000925417
6125,0.000984921
6175,0.00103577
6225,0.00106819
6275,0.00119411
6325,0.0012702
6375,0.00135484
6409.67,0.000370247
6690.35,0.000977731
6970.79,0.00139372
7251.04,0.00175585
7531.27,0.00202106
7811.65,0.00252584
8092.45,0.0030377
8373.88,0.00355081
8655.95,0.0043189
8938.65,0.00508638
9222.22,0.00570021
9507.06,0.00597409
9793.87,0.0059781
10083.7,0.00560669
10377.1,0.00494647
10674.3,0.00411109
10974.6,0.00328839
11278.1,0.00257406
11584.5,0.00182227
11893.7,0.00163013
12205.2,0.00176088
12518.6,0.00205977
12834,0.00230952
13151.7,0.002334
13472.3,0.00200442
13796.1,0.00131112
14123.3,0.000768461
14453.6,0.000361548
14786.5,0.000251656
15121.6,0.000468847
15458.7,0.000776479
15797.8,0.000932516
16139.1,0.000833905
16483.3,0.000246869
16830.8,-6.72641e-05
17181.6,-0.000519833
17535.5,-3.90848e-05
17892.6,0.000865599
18254.1,0.00104007
18621.8,0.000540103
18997.3,-0.000462421
19381.7,-0.000790362
19774.9,-0.000283067
20177,0.000380401
20588.7,0.000541403
21010.5,0.000417342
21443.3,0.000272552
21887.6,0.000223036
22343.7,-0.000373602
22811.6,-0.000146304
23291.5,0.000205813
23784,0.000258892
24290.1,0.000127762
24810.4,0.00048404
25345.8,0.000595832
25897.4,0.000406371
26467.1,-0.000138309
27056.3,-0.000603598
27664.2,0.00019597
28290.6,0.000653581
28938,0.000680165
29609.6,1.3915e-05
30306.9,-0.000126631
31030.3,-1.84184e-05
31780.4,0.000379131
32558.4,0.000697842
33365.8,0.00123743
34205.9,0.00138538
35087.9,4.10141e-05
36021,-0.00141591
37006.8,-0.00172277
38047.9,-0.00266346
39155.3,-0.00394631
40334.3,-0.00418353
41583.1,-0.00388873
42906.9,-0.00364858
44312.5,-0.00326431
45804,-0.00274285
47381.4,-0.0022321
49039.3,-0.00162863
50772.1,-0.00110424
