z,heating_rate
25,-0.0953927
75,0.308214
125,-0.162877
175,0.126543
225,0.0538748
275,-0.215499
325,-0.24181
375,-0.0551277
425,0.394664
475,0.0714153
525,-0.244316
575,-0.0187935
625,0.129049
675,-0.00751737
725,0.0839444
775,-0.117773
825,-0.0400928
875,0.139072
925,-0.182923
975,-0.0576334
1025,0.0964733
1075,0.117773
1125,0.00751742
1175,-0.295684
1225,0.239304
1275,-0.076427
1325,0.144084
1375,-0.15536
1425,0.139072
1475,0.0400929
1525,0.0363342
1575,0.0989791
1625,-0.196705
1675,-0.0839443
1725,-0.0325754
1775,0.0212993
1825,-0.0651509
1875,0.0952205
1925,0.050116
1975,-0.16413
2025,0.152854
2075,-0.162877
2125,0.0488632
2175,0.100232
2225,-0.062645
2275,0.0964734
2325,-0.0438515
2375,0.0889559
2425,-0.00877032
2475,-0.075174
2525,-0.207982
2575,0.171647
2625,0.011276
2675,-0.0162877
2725,0.131555
2775,-0.150348
2825,0.0927147
2875,-0.154107
2925,0.13406
2975,0.00250592
3025,-0.149095
3075,0.239304
3125,-0.100232
3175,-0.117773
3225,-0.037587
3275,0.255592
3325,-0.0889559
3375,-0.169142
3425,0.205476
3475,-0.0664037
3525,0.0463573
3575,-0.142831
3625,0.264362
3675,-0.0977263
3725,-0.062645
3775,0.0826914
3825,-0.0150347
3875,-0.0563805
3925,0.11652
3975,-0.0814385
4025,-0.0526219
4075,0.150348
4125,-0.1729
4175,0.131555
4225,-0.181671
4275,0.0626449
4325,-4.71647e-08
4375,0.25058
4425,-0.226775
4475,-0.0263108
4525,0.100232
4575,-0.144084
4625,0.0964734
4675,-0.0964734
4725,0.179165
4775,-0.0363341
4825,-0.025058
4875,-0.139072
4925,0.106497
4975,-0.0325754
5025,-0.130302
5075,0.087703
5125,0.131555
5175,0.00125279
5225,-0.21174
5275,0.0613922
5325,0.112761
5375,0.00250573
5425,-0.0325754
5475,0.140325
5525,-0.145337
5575,-0.00375871
5625,-0.0538746
5675,0.0977264
5725,-0.103991
5775,-0.0463573
5825,0.106497
5875,0.111508
5925,-0.0075174
5975,-0.122784
6025,-0.115267
6075,0.0789328
6125,-0.0526218
6175,0.0175406
6225,0.050116
6275,-0.0150347
6325,0.0839444
6375,0.316984
6409.67,-0.0947603
6690.35,-0.0151829
6970.79,-0.0205608
7251.04,0.0516456
7531.27,-0.0650465
7811.65,0.0225561
8092.45,-0.0073548
8373.88,0.0071141
8655.95,0.00976197
8938.65,-0.0121729
9222.22,0.0253592
9507.06,0.0153543
9793.87,-0.00500228
10083.7,0.00300828
10377.1,-0.0159041
10674.3,0.00796592
10974.6,0.0178443
11278.1,-0.0394452
11584.5,0.0250215
11893.7,-0.0199745
12205.2,0.00701651
12518.6,0.00936664
12834,-0.00554413
13151.7,0.00216005
13472.3,0.0118632
13796.1,-0.000577314
14123.3,-0.0409551
14453.6,0.0305951
14786.5,-0.0217498
15121.6,0.0102504
15458.7,0.00333579
15797.8,0.0187862
16139.1,-0.0224941
16483.3,0.0130428
16830.8,-0.0141745
17181.6,0.0104863
17535.5,-0.00863746
17892.6,0.000349073
18254.1,0.00378579
18621.8,0.00388124
18997.3,0.0145103
19381.7,-0.0393187
19774.9,0.022373
20177,-0.0107816
20588.7,0.0172943
21010.5,-0.00234635
21443.3,-0.00257189
21887.6,0.000139166
22343.7,0.00691542
22811.6,-0.00356961
23291.5,-0.000902345
23784,0.00338937
24290.1,-0.0190479
24810.4,0.0195906
25345.8,0.00265305
25897.4,-0.0139808
26467.1,0.00810846
27056.3,0.00104601
27664.2,0.00426564
28290.6,-0.00256052
28938,0.0108419
29609.6,-0.0145539
30306.9,0.00388013
31030.3,-0.000680561
31780.4,-0.0045936
32558.4,-0.00284625
33365.8,-0.000380879
34205.9,-0.00321286
35087.9,-0.0114093
36021,-0.0129151
37006.8,-0.00991335
38047.9,-0.0102939
39155.3,-0.0184018
40334.3,-0.0169238
41583.1,-0.0161551
42906.9,-0.0139166
44312.5,-0.013764
45804,-0.00709781
47381.4,-0.00808649
49039.3,-0.00531711
50772.1,-0.00332868
