z,heating_rate
25,0.0601474
75,0.0459422
125,-0.140815
175,0.334296
225,-0.122403
275,0.0920018
325,-0.233783
375,-0.177769
425,0.230575
475,0.0735217
525,0.0206687
575,-0.211502
625,0.161447
675,-0.0829352
725,0.0186859
775,-0.237684
825,0.263524
875,0.000967484
925,-0.0265383
975,0.153586
1025,-0.243488
1075,0.093973
1125,0.0289991
1175,0.0313354
1225,-0.0184001
1275,-0.037163
1325,-0.149247
1375,0.224766
1425,-0.250869
1475,0.161833
1525,-0.0297474
1575,0.118282
1625,-0.110389
1675,0.0262074
1725,-0.0523801
1775,0.0580067
1825,-0.0209911
1875,-0.0443576
1925,0.0403785
1975,-0.0125811
2025,0.0194168
2075,0.0474419
2125,-0.0168108
2175,-0.179172
2225,0.095442
2275,0.110421
2325,0.0305429
2375,-0.0603486
2425,-0.0779236
2475,0.0725821
2525,-0.0177145
2575,0.0298222
2625,-0.00468506
2675,-0.0247741
2725,-0.0111312
2775,0.0109166
2825,0.00161414
2875,0.0171432
2925,0.0233006
2975,0.00827624
3025,-0.0354124
3075,-0.0891336
3125,0.0701626
3175,0.0364532
3225,-0.0607856
3275,-0.0585711
3325,-0.0327337
3375,0.0726281
3425,-0.00969771
3475,0.0397149
3525,-0.0679482
3575,0.00755369
3625,0.0743751
3675,-0.0700603
3725,-0.0351688
3775,-0.0364583
3825,-0.0372356
3875,0.0369293
3925,0.0838453
3975,-0.0120781
4025,0.0291377
4075,-0.0730784
4125,-0.0197832
4175,0.0385574
4225,-0.0807786
4275,0.137781
4325,-0.0722215
4375,-0.00139386
4425,0.0171269
4475,0.0172943
4525,-0.0400594
4575,-0.0143107
4625,-0.0719594
4675,-0.0016282
4725,-0.0672947
4775,-0.0133354
4825,-0.0667992
4875,-0.0219489
4925,0.0207422
4975,0.0356447
5025,0.0117996
5075,-0.046006
5125,-0.0886465
5175,-0.101813
5225,-0.116724
5275,0.0544137
5325,0.0212234
5375,-0.0128802
5425,0.0246092
5475,-0.0484623
5525,-0.0621598
5575,-0.0706599
5625,0.00839429
5675,-0.0879273
5725,-0.00722892
5775,-0.0173987
5825,-0.0132465
5875,-0.0366085
5925,-0.02522
5975,-0.0513384
6025,-0.0141715
6075,-0.0583922
6125,-0.0774047
6175,-0.0579805
6225,-0.0364212
6275,-0.0718668
6325,-0.0691536
6375,-0.0196296
6409.67,-0.123124
6690.35,-0.165632
6970.79,-0.200544
7251.04,-0.221017
7531.27,-0.193351
7811.65,-0.173172
8092.45,-0.156198
8373.88,-0.152398
8655.95,-0.146954
8938.65,-0.134908
9222.22,-0.127916
9507.06,-0.119076
9793.87,-0.098669
10083.7,-0.0800418
10377.1,-0.0602569
10674.3,-0.0410962
10974.6,-0.0301699
11278.1,-0.0291419
11584.5,-0.0280984
11893.7,-0.0224273
12205.2,-0.0171436
12518.6,-0.0170867
12834,-0.0161568
13151.7,-0.0134747
13472.3,-0.0133553
13796.1,-0.0112073
14123.3,-0.01294
14453.6,-0.010411
14786.5,-0.0076763
15121.6,-0.00851274
15458.7,-0.00680072
15797.8,-0.00721889
16139.1,-0.00650499
16483.3,-0.00615884
16830.8,-0.00484487
17181.6,-0.0047845
17535.5,-0.00452931
17892.6,-0.00396883
18254.1,-0.00380173
18621.8,-0.00254513
18997.3,-0.00282863
19381.7,-0.00320378
19774.9,-0.00200142
20177,-0.00241365
20588.7,-0.00152782
21010.5,-0.00126784
21443.3,-0.00123836
21887.6,-0.00110966
22343.7,-0.00114417
22811.6,-0.00130849
23291.5,-0.000790113
23784,-0.000638834
24290.1,-9.11089e-05
24810.4,-0.000419105
25345.8,-0.000588772
25897.4,-0.000571033
26467.1,-0.000116566
27056.3,-0.000431284
27664.2,-0.000411155
28290.6,-0.000204876
28938,-0.000249004
29609.6,-0.000132
30306.9,-0.000194029
31030.3,-0.000143325
31780.4,-4.85709e-05
32558.4,-1.32268e-05
33365.8,-7.33467e-05
34205.9,-5.76926e-05
35087.9,-3.28163e-05
36021,1.85159e-05
37006.8,-1.65942e-05
38047.9,-5.00864e-09
39155.3,-1.65329e-05
40334.3,1.18046e-05
41583.1,-1.55234e-05
42906.9,0
44312.5,-1.36655e-05
45804,0
47381.4,0
49039.3,2.7198e-06
50772.1,0
