z,heating_rate
25,-0.0181401
75,-0.021372
125,-0.0167028
175,-0.00808333
225,-0.00754411
275,-0.00610742
325,-0.0102374
375,-0.00476042
425,0.00574462
475,-0.00817205
525,-0.00143796
575,-0.00673521
625,-0.00583732
675,0.00574507
725,-1.04459e-06
775,0.00350057
825,0.000896818
875,-0.000180514
925,0.00969592
975,0.00933683
1025,0.00655353
1075,0.0105042
1125,0.00807997
1175,0.00457833
1225,0.0186748
1275,0.0045785
1325,0.0149936
1375,0.00305216
1425,0.00951674
1475,0.006913
1525,0.0209192
1575,0.0496496
1625,0.0508164
1675,0.0509961
1725,0.0519841
1775,0.0314238
1825,0.031873
1875,0.0202909
1925,0.0208299
1975,-0.0103258
2025,0.0111332
2075,-0.0150842
2125,0.00870905
2175,0.00197518
2225,0.00305265
2275,0.022626
2325,-0.0158922
2375,0.00601563
2425,-0.00718289
2475,0.00179569
2525,0.00978665
2575,0.00215484
2625,-0.00843989
2675,-0.00924796
2725,-0.00915817
2775,-0.0140066
2825,-0.00619523
2875,-0.0182266
2925,-0.0274745
2975,-0.00700331
3025,-0.0171491
3075,-0.00843988
3125,-0.0137373
3175,-0.0140066
3225,-0.0153534
3275,-0.00547695
3325,-0.00799095
3375,-0.000808074
3425,0.000538716
3475,-0.00583609
3525,-0.00359144
3575,-0.00305272
3625,-0.00152636
3675,-0.0044893
3725,-0.00404037
3775,-0.00179572
3825,-0.00305272
3875,-0.00287315
3925,-0.00206508
3975,8.97861e-05
4025,-0.00161615
4075,-0.00233444
4125,0.001257
4175,0.001257
4225,-0.00224465
4275,-0.00278337
4325,-8.97861e-05
4375,-8.9786e-05
4425,-0.00044893
4475,0.00260379
4525,-0.00224465
4575,-0.00044893
4625,-0.000359144
4675,0.00260379
4725,0.000628502
4775,0.00107743
4825,-0.00314251
4875,0.00278336
4925,-0.00044893
4975,0.000269358
5025,0.001257
5075,0.00233444
5125,-0.00116722
5175,-0.00044893
5225,0.001257
5275,0.00134679
5325,0.00152636
5375,0.00206508
5425,-0.00170593
5475,0.00116722
5525,0.000987646
5575,0.00197529
5625,0.000269358
5675,0.00044893
5725,0.000808074
5775,0.00152636
5825,0.00197529
5875,-0.000808074
5925,0.00332208
5975,0.00377101
6025,0.00251401
6075,0.000987646
6125,0.00305272
6175,-0.00116722
6225,-0.00044893
6275,0.00251401
6325,0.00134679
6375,0.00377101
6409.67,0.000598304
6690.35,0.00108804
6970.79,0.00219414
7251.04,0.0011696
7531.27,0.000913057
7811.65,0.00112029
8092.45,0.00177285
8373.88,0.00215078
8655.95,0.000572373
8938.65,0.00120542
9222.22,0.0011694
9507.06,0.00127324
9793.87,0.00174562
10083.7,0.000615945
10377.1,0.000562266
10674.3,0.000615925
10974.6,0.000520427
11278.1,0.000220839
11584.5,0.000481076
11893.7,0.000101212
12205.2,0.000215494
12518.6,-1.42816e-05
12834,-7.09475e-05
13151.7,2.81444e-05
13472.3,0.000195116
13796.1,9.65339e-05
14123.3,-0.000382226
14453.6,-0.000487227
14786.5,-0.000483717
15121.6,-8.01351e-05
15458.7,2.65612e-05
15797.8,-0.000343165
16139.1,1.31056e-05
16483.3,0
16830.8,0
17181.6,0
17535.5,0
17892.6,0
18254.1,0
18621.8,0
18997.3,0
19381.7,0
19774.9,0
20177,0
20588.7,0
21010.5,0
21443.3,0
21887.6,0
22343.7,0
22811.6,-1.89487e-05
23291.5,-9.23776e-06
23784,-8.99596e-06
24290.1,0
24810.4,-8.50857e-06
25345.8,0
25897.4,8.01518e-06
26467.1,0
27056.3,0
27664.2,0
28290.6,0
28938,-6.81542e-06
29609.6,0
30306.9,0
31030.3,6.09634e-06
31780.4,5.87837e-06
32558.4,0
33365.8,0
34205.9,0
35087.9,-4.95527e-06
36021,0
37006.8,0
38047.9,0
39155.3,0
40334.3,0
41583.1,0
42906.9,0
44312.5,0
45804,0
47381.4,0
49039.3,0
50772.1,0
