z,heating_rate
25,0.243071
75,-0.500254
125,0.245336
175,0.388493
225,0.0545652
275,-0.236497
325,-0.000629768
375,-0.352184
425,0.291954
475,0.349243
525,-0.640951
575,0.465871
625,0.0542383
675,-0.230506
725,0.0567412
775,0.172447
825,-0.115035
875,-0.168854
925,-0.000879792
975,-0.281467
1025,0.000645616
1075,0.169519
1125,0.281639
1175,-0.562921
1225,0.451225
1275,-0.452916
1325,0.340704
1375,-0.112951
1425,0.416414
1475,-0.0428656
1525,-0.254504
1575,-0.0853525
1625,0.0598331
1675,0.000241166
1725,0.255693
1775,-0.30786
1825,0.0636416
1875,0.485838
1925,-0.664175
1975,0.241016
2025,-0.303667
2075,0.0609051
2125,0.182615
2175,-0.121434
2225,-0.119522
2275,0.42091
2325,0.060589
2375,-0.360891
2425,-0.184054
2475,0.618582
2525,-0.37456
2575,-0.00693352
2625,0.0679301
2675,0.0625369
2725,0.069794
2775,0.0754973
2825,-0.145713
2875,0.293167
2925,-0.0742159
2975,0.0729822
3025,-0.368965
3075,0.0719591
3125,0.433383
3175,-0.00412289
3225,-0.642863
3275,0.144739
3325,-0.0699235
3375,0.00120378
3425,0.2068
3475,-0.133372
3525,-0.00124444
3575,-0.000479184
3625,-0.066524
3675,0.529636
3725,-0.201103
3775,-0.194721
3825,0.0609699
3875,0.00107841
3925,0.184371
3975,-0.18442
4025,-0.305351
4075,0.367108
4125,-0.0616267
4175,0.00144654
4225,-0.0620039
4275,-0.123886
4325,0.252628
4375,-0.192975
4425,0.0649197
4475,0.00121541
4525,0.193388
4575,-0.0645816
4625,0.00238142
4675,-0.200268
4725,0.066771
4775,0.132731
4825,-0.201446
4875,0.262795
4925,-0.32395
4975,0.000550639
5025,0.192124
5075,-0.0632469
5125,-0.0637308
5175,0.244211
5225,-0.121991
5275,-0.0582271
5325,0.115213
5375,0.00315247
5425,-0.176203
5475,0.0576512
5525,-0.0598394
5575,0.0592598
5625,0.000766438
5675,-0.170693
5725,0.0582963
5775,0.000534221
5825,0.0557764
5875,0.00130077
5925,0.162604
5975,-0.0536621
6025,0.0552132
6075,-0.0540692
6125,-0.0546051
6175,-0.0565863
6225,0.0583555
6275,-0.00246438
6325,-0.0161795
6375,0.0187785
6409.67,-0.00325599
6690.35,-0.00417634
6970.79,-0.0237641
7251.04,0.0292352
7531.27,0.0124012
7811.65,0.0127665
8092.45,-0.0251053
8373.88,0
8655.95,0
8938.65,0
9222.22,0
9507.06,0
9793.87,0
10083.7,0
10377.1,0
10674.3,0
10974.6,0
11278.1,0.0532293
11584.5,0.0042272
11893.7,-0.0564682
12205.2,0
12518.6,-0.0203275
12834,0.0201964
13151.7,0
13472.3,0
13796.1,0
14123.3,0
14453.6,0.0222862
14786.5,0.0343706
15121.6,-0.0561568
15458.7,-0.0185189
15797.8,0.0184046
16139.1,0.0562684
16483.3,-0.0557366
16830.8,0
17181.6,-0.0454294
17535.5,0.0295789
17892.6,0.0484279
18254.1,-0.0326373
18621.8,0
18997.3,-0.0773393
19381.7,0.0755818
19774.9,0.0188072
20177,-0.0367708
20588.7,0.0179511
21010.5,-0.030606
21443.3,0.0298206
21887.6,0
22343.7,0
22811.6,0
23291.5,0.0260707
23784,-0.0253883
24290.1,0
24810.4,0
25345.8,0
25897.4,0
26467.1,0
27056.3,-0.0261344
27664.2,0.0253752
28290.6,0
28938,0
29609.6,0
30306.9,0
31030.3,0.0216948
31780.4,-0.0209192
32558.4,-0.0184753
33365.8,0.0178007
34205.9,0
35087.9,0.029589
36021,-0.0101402
37006.8,-0.0168809
38047.9,0.0109043
39155.3,0.00755775
40334.3,-0.0167399
41583.1,0
42906.9,0
44312.5,-0.0152546
45804,-0.0216567
47381.4,0.0277246
49039.3,-0.0016878
50772.1,0.00115509
