z,heating_rate
25,0.0318058
75,0.140924
125,0.0670096
175,-0.263128
225,-0.00927688
275,0.00985525
325,0.0981954
375,-0.0266486
425,0.000710008
475,-0.109538
525,-0.148911
575,0.127985
625,-0.126286
675,0.330817
725,0.0506582
775,-0.101135
825,-0.0909341
875,0.143222
925,-0.0943256
975,-0.113188
1025,0.0761908
1075,0.17174
1125,-0.245146
1175,0.141789
1225,0.191141
1275,-0.257944
1325,0.0638735
1375,-0.0581583
1425,-0.0881377
1475,0.127131
1525,-0.10754
1575,0.10798
1625,-0.0358147
1675,0.0541911
1725,-0.000927765
1775,-0.0300988
1825,0.0927651
1875,0.0141954
1925,-0.0946007
1975,-0.0948828
2025,0.19463
2075,-0.0725815
2125,-0.103763
2175,0.0149878
2225,0.15656
2275,-0.0371683
2325,-0.139911
2375,0.118466
2425,-0.00829885
2475,-0.032173
2525,0.0380644
2575,0.00825002
2625,-0.0493469
2675,-0.0418322
2725,0.051675
2775,0.0328128
2825,-0.0224703
2875,0.00843062
2925,0.0372211
2975,-0.114239
3025,-0.0703385
3075,0.179348
3125,-0.17019
3175,0.0947502
3225,0.0191392
3275,0.0752747
3325,-0.130108
3375,0.0216295
3425,0.022158
3475,0.0985875
3525,-0.0924141
3575,-0.175078
3625,0.112932
3675,0.0773327
3725,-0.0333487
3775,0.0803014
3825,-0.133852
3875,0.1654
3925,0.00504817
3975,-0.215019
4025,0.213395
4075,-0.0348233
4125,-0.105208
4175,-0.00954605
4225,0.0801513
4275,-0.0496728
4325,0.112501
4375,-0.0160935
4425,-0.111572
4475,0.0469099
4525,0.0294732
4575,-0.123254
4625,-0.0441571
4675,0.140144
4725,-0.0422074
4775,0.0212377
4825,0.0249453
4875,0.0305903
4925,-0.0844436
4975,0.0144519
5025,-0.0593666
5075,0.000305172
5125,-0.054526
5175,0.366937
5225,-0.15249
5275,-0.12002
5325,0.115723
5375,0.0582062
5425,0.0575234
5475,-0.136205
5525,0.114533
5575,-0.153862
5625,-0.037473
5675,-0.0744544
5725,0.129711
5775,-0.0379026
5825,0.000513827
5875,-0.052583
5925,0.141592
5975,-0.19163
6025,0.191701
6075,-0.0155109
6125,0.00249939
6175,-0.0885399
6225,0.0220412
6275,-0.15697
6325,0.0716155
6375,0.0353585
6409.67,0.0154998
6690.35,-0.0126486
6970.79,0.00316221
7251.04,-0.00180111
7531.27,0.0230603
7811.65,-0.0036952
8092.45,-0.0169625
8373.88,0.00769717
8655.95,0.00888328
8938.65,-0.0173434
9222.22,0.0011354
9507.06,-0.00534499
9793.87,-0.00515831
10083.7,0.0179875
10377.1,0.0500668
10674.3,-0.081486
10974.6,0.0460034
11278.1,-0.0339475
11584.5,0.0158649
11893.7,0.0235812
12205.2,-0.0702976
12518.6,0.0615951
12834,0.00506129
13151.7,-0.047275
13472.3,0.0307371
13796.1,0.012404
14123.3,-0.00159217
14453.6,-0.0243429
14786.5,0.0232505
15121.6,-0.00407158
15458.7,0.0220588
15797.8,-0.0344778
16139.1,0.0105361
16483.3,0.0184922
16830.8,-0.0608814
17181.6,0.0513132
17535.5,-0.0248675
17892.6,0.0103819
18254.1,-0.0293059
18621.8,0.0532126
18997.3,-0.00917749
19381.7,-0.00911296
19774.9,-0.00795642
20177,-0.00096369
20588.7,0.0012002
21010.5,-0.00942561
21443.3,0.0278071
21887.6,0.0099074
22343.7,-0.0123603
22811.6,-0.00982193
23291.5,-0.00113674
23784,0.0124677
24290.1,-0.0485079
24810.4,0.0381039
25345.8,-0.00264955
25897.4,-0.0344094
26467.1,0.0332608
27056.3,0.00709208
27664.2,-0.0055917
28290.6,-0.0146094
28938,0.0128963
29609.6,-0.0134817
30306.9,0.0129884
31030.3,0.0102449
31780.4,-0.0193097
32558.4,0.00989925
33365.8,-0.0151645
34205.9,0.00429723
35087.9,0.00783185
36021,-0.0109467
37006.8,0.0302278
38047.9,-0.013249
39155.3,-0.00894256
40334.3,0.0102755
41583.1,-0.00597146
42906.9,0.00352736
44312.5,-0.00145366
45804,-0.0116006
47381.4,0.000622111
49039.3,-0.000855059
50772.1,0.00145184
