z,heating_rate
25,1.81081
75,-0.664992
125,-0.664992
175,-0.997488
225,1.99498
275,-0.332496
325,-1.32998
375,0.997488
425,-1.66248
475,1.99498
525,-0.664992
575,1.32998
625,-2.32747
675,1.99498
725,-0.997488
775,-1.32998
825,1.32998
875,-0.664992
925,0.332496
975,-0.332496
1025,2.32747
1075,-1.66248
1125,0.664992
1175,-0.332496
1225,-1.32998
1275,1.99498
1325,-1.66248
1375,6.86031e-08
1425,-0.332496
1475,1.32998
1525,-0.332496
1575,-0.664992
1625,0.664992
1675,3.43016e-08
1725,0.332496
1775,-0.664992
1825,0.664992
1875,-0.997488
1925,1.99498
1975,-1.66248
2025,6.86031e-08
2075,-0.332496
2125,0.664992
2175,0.332496
2225,-6.86031e-08
2275,-0.332496
2325,0.664992
2375,-1.32998
2425,2.65997
2475,-1.99498
2525,3.43016e-08
2575,-0.664992
2625,0.332496
2675,0.332496
2725,-0.664992
2775,0
2825,1.66248
2875,-0.997488
2925,-0.332496
2975,0.332496
3025,0
3075,-0.664992
3125,-6.86031e-08
3175,0.332496
3225,1.32998
3275,-0.997488
3325,0
3375,-1.32998
3425,0.664992
3475,0
3525,-0.332496
3575,1.32998
3625,0
3675,-0.664992
3725,-6.86031e-08
3775,-0.664992
3825,1.66248
3875,-0.997488
3925,1.99498
3975,-1.66248
4025,0.664992
4075,0
4125,-1.99498
4175,1.32998
4225,6.86031e-08
4275,0.664992
4325,0
4375,0
4425,-0.332496
4475,-0.332496
4525,0.332496
4575,-0.332496
4625,-0.664992
4675,-0.664992
4725,0.997488
4775,-1.32998
4825,-0.332496
4875,1.99498
4925,-1.32998
4975,1.99498
5025,-1.66248
5075,1.32998
5125,0.664992
5175,-0.997488
5225,-0.997488
5275,1.66248
5325,-0.997488
5375,-6.86031e-08
5425,-0.332496
5475,0.332496
5525,1.32998
5575,-1.66248
5625,0.664992
5675,-0.332496
5725,0.332496
5775,0.664992
5825,-1.66248
5875,0.997488
5925,-0.332496
5975,-0.332496
6025,1.32998
6075,-0.664992
6125,-0.664992
6175,-0.332496
6225,0.664992
6275,0.332496
6325,0
6375,0.332496
6409.67,-0.553911
6690.35,0.355522
6970.79,0.0593092
7251.04,-0.355994
7531.27,0.17796
7811.65,-0.296334
8092.45,0.354877
8373.88,-0.235993
8655.95,-1.21482e-08
8938.65,0
9222.22,0.351123
9507.06,-0.174632
9793.87,0.173153
10083.7,-0.285121
10377.1,0.337652
10674.3,-0.111263
10974.6,0.0550643
11278.1,-0.109042
11584.5,-0.0539855
11893.7,0
12205.2,0.106403
12518.6,-0.0528878
12834,0.0525466
13151.7,-0.208449
13472.3,0.051611
13796.1,-0.102139
14123.3,0.0505522
14453.6,0.100239
14786.5,0.0497584
15121.6,0
15458.7,-0.0983616
15797.8,0.0977548
16139.1,-0.145598
16483.3,0.144222
16830.8,-0.0952311
17181.6,0.0943345
17535.5,0
17892.6,0
18254.1,-0.0456671
18621.8,0
18997.3,0.0437585
19381.7,0
19774.9,0.083625
20177,-0.0408748
20588.7,-0.0399093
21010.5,0
21443.3,0
21887.6,-0.0369326
22343.7,-0.0359847
22811.6,0.0350854
23291.5,-0.0342093
23784,0.0666278
24290.1,-0.0324034
24810.4,-0.031509
25345.8,0.0306117
25897.4,-0.0593637
26467.1,0.0573822
27056.3,0.0277592
27664.2,-0.0269528
28290.6,0
28938,0
29609.6,-0.0242913
30306.9,0.0234025
31030.3,-0.045152
31780.4,0.0217688
32558.4,0.0209817
33365.8,-0.0202156
34205.9,0
35087.9,0.0183504
36021,0.0173102
37006.8,-0.0164426
38047.9,0
39155.3,0
40334.3,-0.0136929
41583.1,0
42906.9,0
44312.5,0
45804,0
47381.4,0
49039.3,-0.00979902
50772.1,0
