,kext,Esc
0,1e-10,1.0
1,2.285463864134993e-10,1.0
2,5.223345074266832e-10,1.0
3,1.1937766417144357e-09,0.9999998807907104
4,2.7283333764867695e-09,0.9999998807907104
5,6.235507341273925e-09,0.9999994039535522
6,1.4251026703029963e-08,0.9999992847442627
7,3.257020655659783e-08,0.9999974966049194
8,7.443803013251697e-08,0.9999938011169434
9,1.7012542798525891e-07,0.999987006187439
10,3.8881551803080855e-07,0.9999732971191406
11,8.886238162743408e-07,0.9999382495880127
12,2.030917620904735e-06,0.9998571872711182
13,4.641588833612782e-06,0.9996737241744995
14,1.0608183551394482e-05,0.9992846250534058
15,2.424462017082331e-05,0.9983338117599487
16,5.541020330009492e-05,0.9962090253829956
17,0.00012663801734674022,0.9913593530654907
18,0.0002894266124716752,0.9804859161376953
19,0.0006614740641230146,0.9567223787307739
20,0.001511775070615663,0.9061168432235718
21,0.003455107294592218,0.8071887493133545
22,0.007896522868499734,0.6397768259048462
23,0.01804721766827174,0.42033350467681885
24,0.04124626382901348,0.2237938642501831
25,0.09426684551178854,0.10516273975372314
26,0.21544346900318867,0.04726600646972656
27,0.49238826317067313,0.02106451988220215
28,1.1253355826007645,0.009225845336914062
29,2.571913809059347,0.00401759147644043
30,5.8780160722749235,0.0017641782760620117
31,13.433993325988988,0.0007795095443725586
32,30.702906297578497,0.0003387928009033203
33,70.17038286703837,0.00014793872833251953
34,160.37187437513276,6.210803985595703e-05
35,366.5241237079626,2.872943878173828e-05
36,837.6776400682925,1.239776611328125e-05
37,1914.4819761699614,5.602836608886719e-06
38,4375.47937507418,2.1457672119140625e-06
39,10000.0,1.1920928955078125e-06
