kext,Esc
1.000000000000000e-10,9.999999403953552e-01
1.084145868935833e-10,9.999998211860657e-01
1.175372265130637e-10,9.999999403953552e-01
1.274274985703132e-10,1.000000000000000e+00
1.381499961638324e-10,1.000000000000000e+00
1.497747476345200e-10,1.000000000000000e+00
1.623776739188724e-10,9.999999403953552e-01
1.760410843865553e-10,1.000000000000000e+00
1.908542144006690e-10,9.999998211860657e-01
2.069138081114790e-10,9.999998807907104e-01
2.243247502898416e-10,9.999999403953552e-01
2.432007513267950e-10,1.000000000000000e+00
2.636650898730356e-10,9.999998807907104e-01
2.858514179684477e-10,1.000000000000000e+00
3.099046339199427e-10,9.999998807907104e-01
3.359818286283788e-10,9.999999403953552e-01
3.642533115449638e-10,9.999998807907104e-01
3.949037229576694e-10,9.999998807907104e-01
4.281332398719396e-10,1.000000000000000e+00
4.641588833612773e-10,9.999998807907104e-01
5.032159359259999e-10,9.999998211860657e-01
5.455594781168515e-10,9.999998807907104e-01
5.914660544591758e-10,9.999999403953552e-01
6.412354795576917e-10,1.000000000000000e+00
6.951927961775591e-10,9.999998807907104e-01
7.536903980898542e-10,9.999999403953552e-01
8.171103315457187e-10,9.999997615814209e-01
8.858667904100832e-10,9.999999403953552e-01
9.604088212505369e-10,9.999998807907104e-01
1.041223256048306e-09,9.999998807907104e-01
1.128837891684688e-09,9.999997019767761e-01
1.223824936968190e-09,9.999999403953552e-01
1.326804749714725e-09,9.999998807907104e-01
1.438449888287666e-09,9.999999403953552e-01
1.559489504058283e-09,9.999999403953552e-01
1.690714103473578e-09,9.999995231628418e-01
1.832980710832437e-09,9.999997019767761e-01
1.987218465488053e-09,9.999995827674866e-01
2.154434690031887e-09,9.999998807907104e-01
2.335721469090121e-09,9.999998807907104e-01
2.532262781698800e-09,9.999996423721313e-01
2.745342233838714e-09,9.999997019767761e-01
2.976351441631313e-09,9.999996423721313e-01
3.226799119945812e-09,9.999994635581970e-01
3.498320935775032e-09,9.999994635581970e-01
3.792690190732254e-09,9.999994635581970e-01
4.111829402435829e-09,9.999996423721313e-01
4.457822860419715e-09,9.999994039535522e-01
4.832930238571752e-09,9.999992847442627e-01
5.239601353002634e-09,9.999992251396179e-01
5.680492161728428e-09,9.999991655349731e-01
6.158482110660254e-09,9.999992847442627e-01
6.676692939187570e-09,9.999990463256836e-01
7.238509068173248e-09,9.999985694885254e-01
7.847599703514623e-09,9.999993443489075e-01
8.507942799627444e-09,9.999989867210388e-01
9.223851039358457e-09,9.999994635581970e-01
1.000000000000000e-08,9.999989867210388e-01
1.084145868935835e-08,9.999988079071045e-01
1.175372265130637e-08,9.999986886978149e-01
1.274274985703132e-08,9.999987483024597e-01
1.381499961638324e-08,9.999984502792358e-01
1.497747476345200e-08,9.999983906745911e-01
1.623776739188721e-08,9.999983906745911e-01
1.760410843865552e-08,9.999981522560120e-01
1.908542144006686e-08,9.999977350234985e-01
2.069138081114790e-08,9.999978542327881e-01
2.243247502898416e-08,9.999973773956299e-01
2.432007513267950e-08,9.999979734420776e-01
2.636650898730355e-08,9.999977946281433e-01
2.858514179684472e-08,9.999970793724060e-01
3.099046339199427e-08,9.999973177909851e-01
3.359818286283781e-08,9.999963045120239e-01
3.642533115449638e-08,9.999957680702209e-01
3.949037229576702e-08,9.999951720237732e-01
4.281332398719396e-08,9.999951720237732e-01
4.641588833612773e-08,9.999949932098389e-01
5.032159359259998e-08,9.999960660934448e-01
5.455594781168515e-08,9.999937415122986e-01
5.914660544591745e-08,9.999932646751404e-01
6.412354795576917e-08,9.999933242797852e-01
6.951927961775605e-08,9.999915957450867e-01
7.536903980898542e-08,9.999909996986389e-01
8.171103315457186e-08,9.999920725822449e-01
8.858667904100832e-08,9.999902248382568e-01
9.604088212505370e-08,9.999902844429016e-01
1.041223256048304e-07,9.999892115592957e-01
1.128837891684688e-07,9.999883174896240e-01
1.223824936968192e-07,9.999855756759644e-01
1.326804749714725e-07,9.999865889549255e-01
1.438449888287663e-07,9.999837875366211e-01
1.559489504058283e-07,9.999831914901733e-01
1.690714103473578e-07,9.999815225601196e-01
1.832980710832437e-07,9.999819993972778e-01
1.987218465488053e-07,9.999810457229614e-01
2.154434690031882e-07,9.999797344207764e-01
2.335721469090121e-07,9.999778270721436e-01
2.532262781698794e-07,9.999735355377197e-01
2.745342233838714e-07,9.999716281890869e-01
2.976351441631313e-07,9.999691843986511e-01
3.226799119945812e-07,9.999644756317139e-01
3.498320935775032e-07,9.999628663063049e-01
3.792690190732246e-07,9.999581575393677e-01
4.111829402435828e-07,9.999557137489319e-01
4.457822860419706e-07,9.999525547027588e-01
4.832930238571752e-07,9.999495744705200e-01
5.239601353002645e-07,9.999471306800842e-01
5.680492161728429e-07,9.999418854713440e-01
6.158482110660254e-07,9.999360442161560e-01
6.676692939187570e-07,9.999293684959412e-01
7.238509068173247e-07,9.999246001243591e-01
7.847599703514607e-07,9.999191164970398e-01
8.507942799627444e-07,9.999093413352966e-01
9.223851039358476e-07,9.999039173126221e-01
1.000000000000000e-06,9.998949766159058e-01
1.084145868935835e-06,9.998852014541626e-01
1.175372265130637e-06,9.998727440834045e-01
1.274274985703132e-06,9.998708963394165e-01
1.381499961638321e-06,9.998568296432495e-01
1.497747476345200e-06,9.998472929000854e-01
1.623776739188721e-06,9.998295307159424e-01
1.760410843865553e-06,9.998129606246948e-01
1.908542144006686e-06,9.998046755790710e-01
2.069138081114790e-06,9.997892975807190e-01
2.243247502898416e-06,9.997643828392029e-01
2.432007513267945e-06,9.997476339340210e-01
2.636650898730355e-06,9.997389316558838e-01
2.858514179684471e-06,9.997019767761230e-01
3.099046339199427e-06,9.996686577796936e-01
3.359818286283781e-06,9.996535778045654e-01
3.642533115449638e-06,9.996135830879211e-01
3.949037229576702e-06,9.995963573455811e-01
4.281332398719396e-06,9.995623230934143e-01
4.641588833612773e-06,9.995186924934387e-01
