kext,Esc
1.000000000000000e-06,9.999401867389679e-01
1.084145868935835e-06,9.999335557222366e-01
1.175372265130637e-06,9.999288171529770e-01
1.274274985703132e-06,9.999237358570099e-01
1.381499961638321e-06,9.999141246080399e-01
1.497747476345200e-06,9.999102056026459e-01
1.623776739188721e-06,9.999032616615295e-01
1.760410843865553e-06,9.998931139707565e-01
1.908542144006686e-06,9.998829215764999e-01
2.069138081114790e-06,9.998763650655746e-01
2.243247502898416e-06,9.998680502176285e-01
2.432007513267945e-06,9.998551607131958e-01
2.636650898730355e-06,9.998418390750885e-01
2.858514179684471e-06,9.998286217451096e-01
3.099046339199427e-06,9.998125135898590e-01
3.359818286283781e-06,9.997973442077637e-01
3.642533115449638e-06,9.997815042734146e-01
3.949037229576702e-06,9.997613728046417e-01
4.281332398719396e-06,9.997430741786957e-01
4.641588833612773e-06,9.997222274541855e-01
5.032159359259988e-06,9.997031539678574e-01
5.455594781168514e-06,9.996724128723145e-01
5.914660544591746e-06,9.996455907821655e-01
6.412354795576917e-06,9.996185451745987e-01
6.951927961775606e-06,9.995811581611633e-01
7.536903980898542e-06,9.995489418506622e-01
8.171103315457188e-06,9.995064735412598e-01
8.858667904100815e-06,9.994713515043259e-01
9.604088212505370e-06,9.994207471609116e-01
1.041223256048304e-05,9.993772208690643e-01
1.128837891684688e-05,9.993251711130142e-01
1.223824936968192e-05,9.992650896310806e-01
1.326804749714724e-05,9.992023110389709e-01
1.438449888287663e-05,9.991454780101776e-01
1.559489504058283e-05,9.990573227405548e-01
1.690714103473578e-05,9.989890158176422e-01
1.832980710832434e-05,9.988914132118225e-01
1.987218465488053e-05,9.988064318895340e-01
2.154434690031882e-05,9.987015277147293e-01
2.335721469090121e-05,9.985973238945007e-01
2.532262781698795e-05,9.984806329011917e-01
2.745342233838714e-05,9.983530789613724e-01
2.976351441631313e-05,9.982159733772278e-01
3.226799119945805e-05,9.980641603469849e-01
3.498320935775033e-05,9.978998601436615e-01
3.792690190732246e-05,9.977174848318100e-01
4.111829402435829e-05,9.975267499685287e-01
4.457822860419707e-05,9.973274022340775e-01
4.832930238571752e-05,9.971032291650772e-01
5.239601353002644e-05,9.968519508838654e-01
5.680492161728429e-05,9.966044723987579e-01
6.158482110660255e-05,9.963019192218781e-01
6.676692939187557e-05,9.960154145956039e-01
7.238509068173247e-05,9.956692904233932e-01
7.847599703514606e-05,9.953036308288574e-01
8.507942799627444e-05,9.949111938476562e-01
9.223851039358476e-05,9.944855421781540e-01
1.000000000000000e-04,9.940147548913956e-01
1.084145868935833e-04,9.935016036033630e-01
1.175372265130634e-04,9.929832965135574e-01
1.274274985703132e-04,9.924131184816360e-01
1.381499961638321e-04,9.917785972356796e-01
1.497747476345200e-04,9.910625219345093e-01
1.623776739188721e-04,9.903584867715836e-01
1.760410843865552e-04,9.895053654909134e-01
1.908542144006686e-04,9.886178821325302e-01
2.069138081114790e-04,9.877159893512726e-01
2.243247502898416e-04,9.866533577442169e-01
2.432007513267945e-04,9.855694621801376e-01
2.636650898730356e-04,9.843857288360596e-01
2.858514179684471e-04,9.830566346645355e-01
3.099046339199427e-04,9.816762357950211e-01
3.359818286283781e-04,9.801271557807922e-01
3.642533115449638e-04,9.785204827785492e-01
3.949037229576694e-04,9.767361432313919e-01
4.281332398719387e-04,9.748164415359497e-01
4.641588833612772e-04,9.727316498756409e-01
5.032159359259988e-04,9.705090969800949e-01
5.455594781168515e-04,9.680749773979187e-01
5.914660544591746e-04,9.655270576477051e-01
6.412354795576917e-04,9.626300930976868e-01
6.951927961775605e-04,9.595937579870224e-01
7.536903980898542e-04,9.563339203596115e-01
8.171103315457186e-04,9.528201371431351e-01
8.858667904100814e-04,9.489604383707047e-01
9.604088212505369e-04,9.449334442615509e-01
1.041223256048304e-03,9.405307471752167e-01
1.128837891684688e-03,9.357565939426422e-01
1.223824936968192e-03,9.306939393281937e-01
1.326804749714724e-03,9.252415001392365e-01
1.438449888287660e-03,9.194104969501495e-01
1.559489504058280e-03,9.130928218364716e-01
1.690714103473578e-03,9.062651097774506e-01
1.832980710832434e-03,8.990420103073120e-01
1.987218465488053e-03,8.913102000951767e-01
2.154434690031882e-03,8.831307142972946e-01
2.335721469090121e-03,8.743299394845963e-01
2.532262781698795e-03,8.648926168680191e-01
2.745342233838714e-03,8.548700362443924e-01
2.976351441631313e-03,8.443502038717270e-01
3.226799119945805e-03,8.330784589052200e-01
3.498320935775033e-03,8.211417645215988e-01
3.792690190732246e-03,8.084501922130585e-01
4.111829402435829e-03,7.952960878610611e-01
4.457822860419706e-03,7.811300009489059e-01
4.832930238571752e-03,7.663617879152298e-01
5.239601353002634e-03,7.509866803884506e-01
5.680492161728417e-03,7.345524430274963e-01
6.158482110660254e-03,7.178160250186920e-01
6.676692939187556e-03,7.001188546419144e-01
7.238509068173248e-03,6.819180846214294e-01
7.847599703514606e-03,6.629203110933304e-01
8.507942799627445e-03,6.432813256978989e-01
9.223851039358476e-03,6.232479363679886e-01
1.000000000000000e-02,6.025273948907852e-01
1.084145868935833e-02,5.813301503658295e-01
1.175372265130637e-02,5.598728209733963e-01
1.274274985703132e-02,5.379290878772736e-01
1.381499961638324e-02,5.159652829170227e-01
1.497747476345200e-02,4.938757270574570e-01
1.623776739188718e-02,4.716305285692215e-01
1.760410843865553e-02,4.493495225906372e-01
1.908542144006682e-02,4.272660315036774e-01
2.069138081114790e-02,4.054366201162338e-01
2.243247502898416e-02,3.839398622512817e-01
2.432007513267950e-02,3.627413064241409e-01
