kext,Esc
1.000000000000000e-10,9.999998807907104e-01
1.084145868935833e-10,9.999999403953552e-01
1.175372265130637e-10,9.999998211860657e-01
1.274274985703132e-10,9.999999403953552e-01
1.381499961638324e-10,1.000000000000000e+00
1.497747476345200e-10,1.000000000000000e+00
1.623776739188724e-10,9.999999403953552e-01
1.760410843865553e-10,1.000000000000000e+00
1.908542144006690e-10,9.999998807907104e-01
2.069138081114790e-10,9.999998211860657e-01
2.243247502898416e-10,9.999998807907104e-01
2.432007513267950e-10,9.999998211860657e-01
2.636650898730356e-10,9.999999403953552e-01
2.858514179684477e-10,9.999999403953552e-01
3.099046339199427e-10,1.000000000000000e+00
3.359818286283788e-10,9.999999403953552e-01
3.642533115449638e-10,9.999998211860657e-01
3.949037229576694e-10,1.000000000000000e+00
4.281332398719396e-10,9.999999403953552e-01
4.641588833612773e-10,9.999999403953552e-01
5.032159359259999e-10,9.999998807907104e-01
5.455594781168515e-10,9.999998211860657e-01
5.914660544591758e-10,1.000000000000000e+00
6.412354795576917e-10,1.000000000000000e+00
6.951927961775591e-10,9.999999403953552e-01
7.536903980898542e-10,1.000000000000000e+00
8.171103315457187e-10,9.999999403953552e-01
8.858667904100832e-10,9.999997019767761e-01
9.604088212505369e-10,9.999998807907104e-01
1.041223256048306e-09,9.999999403953552e-01
1.128837891684688e-09,9.999997615814209e-01
1.223824936968190e-09,9.999997019767761e-01
1.326804749714725e-09,9.999997019767761e-01
1.438449888287666e-09,9.999999403953552e-01
1.559489504058283e-09,9.999998211860657e-01
1.690714103473578e-09,9.999997019767761e-01
1.832980710832437e-09,9.999997615814209e-01
1.987218465488053e-09,9.999998211860657e-01
2.154434690031887e-09,9.999997019767761e-01
2.335721469090121e-09,9.999997019767761e-01
2.532262781698800e-09,9.999998211860657e-01
2.745342233838714e-09,9.999997615814209e-01
2.976351441631313e-09,9.999997019767761e-01
3.226799119945812e-09,9.999997019767761e-01
3.498320935775032e-09,9.999995827674866e-01
3.792690190732254e-09,9.999995827674866e-01
4.111829402435829e-09,9.999995827674866e-01
4.457822860419715e-09,9.999996423721313e-01
4.832930238571752e-09,9.999995827674866e-01
5.239601353002634e-09,9.999992251396179e-01
5.680492161728428e-09,9.999996423721313e-01
6.158482110660254e-09,9.999992251396179e-01
6.676692939187570e-09,9.999994635581970e-01
7.238509068173248e-09,9.999994635581970e-01
7.847599703514623e-09,9.999993443489075e-01
8.507942799627444e-09,9.999986886978149e-01
9.223851039358457e-09,9.999990463256836e-01
1.000000000000000e-08,9.999990463256836e-01
1.084145868935835e-08,9.999991059303284e-01
1.175372265130637e-08,9.999983906745911e-01
1.274274985703132e-08,9.999984502792358e-01
1.381499961638324e-08,9.999983310699463e-01
1.497747476345200e-08,9.999983310699463e-01
1.623776739188721e-08,9.999982118606567e-01
1.760410843865552e-08,9.999983310699463e-01
1.908542144006686e-08,9.999978542327881e-01
2.069138081114790e-08,9.999977946281433e-01
2.243247502898416e-08,9.999977946281433e-01
2.432007513267950e-08,9.999981522560120e-01
2.636650898730355e-08,9.999972581863403e-01
2.858514179684472e-08,9.999964833259583e-01
3.099046339199427e-08,9.999966025352478e-01
3.359818286283781e-08,9.999967813491821e-01
3.642533115449638e-08,9.999967217445374e-01
3.949037229576702e-08,9.999961256980896e-01
4.281332398719396e-08,9.999961256980896e-01
4.641588833612773e-08,9.999949336051941e-01
5.032159359259998e-08,9.999946951866150e-01
5.455594781168515e-08,9.999943971633911e-01
5.914660544591745e-08,9.999939799308777e-01
6.412354795576917e-08,9.999926090240479e-01
6.951927961775605e-08,9.999920129776001e-01
7.536903980898542e-08,9.999924302101135e-01
8.171103315457186e-08,9.999917149543762e-01
8.858667904100832e-08,9.999905228614807e-01
9.604088212505370e-08,9.999899268150330e-01
1.041223256048304e-07,9.999889731407166e-01
1.128837891684688e-07,9.999890327453613e-01
1.223824936968192e-07,9.999873638153076e-01
1.326804749714725e-07,9.999867677688599e-01
1.438449888287663e-07,9.999862909317017e-01
1.559489504058283e-07,9.999837279319763e-01
1.690714103473578e-07,9.999834299087524e-01
1.832980710832437e-07,9.999788999557495e-01
1.987218465488053e-07,9.999790787696838e-01
2.154434690031882e-07,9.999776482582092e-01
2.335721469090121e-07,9.999766349792480e-01
2.532262781698794e-07,9.999736547470093e-01
2.745342233838714e-07,9.999706149101257e-01
2.976351441631313e-07,9.999685883522034e-01
3.226799119945812e-07,9.999697208404541e-01
3.498320935775032e-07,9.999651908874512e-01
3.792690190732246e-07,9.999598860740662e-01
4.111829402435828e-07,9.999587535858154e-01
4.457822860419706e-07,9.999560713768005e-01
4.832930238571752e-07,9.999490976333618e-01
5.239601353002645e-07,9.999477267265320e-01
5.680492161728429e-07,9.999422430992126e-01
6.158482110660254e-07,9.999390840530396e-01
6.676692939187570e-07,9.999274611473083e-01
7.238509068173247e-07,9.999259710311890e-01
7.847599703514607e-07,9.999205470085144e-01
8.507942799627444e-07,9.999139904975891e-01
9.223851039358476e-07,9.999095797538757e-01
1.000000000000000e-06,9.998947978019714e-01
1.084145868935835e-06,9.998919963836670e-01
1.175372265130637e-06,9.998800158500671e-01
1.274274985703132e-06,9.998691678047180e-01
1.381499961638321e-06,9.998568296432495e-01
1.497747476345200e-06,9.998435974121094e-01
1.623776739188721e-06,9.998393654823303e-01
1.760410843865553e-06,9.998114705085754e-01
1.908542144006686e-06,9.997990727424622e-01
2.069138081114790e-06,9.997853636741638e-01
2.243247502898416e-06,9.997711777687073e-01
2.432007513267945e-06,9.997531771659851e-01
2.636650898730355e-06,9.997304081916809e-01
2.858514179684471e-06,9.997072219848633e-01
3.099046339199427e-06,9.996793270111084e-01
3.359818286283781e-06,9.996602535247803e-01
3.642533115449638e-06,9.996239542961121e-01
3.949037229576702e-06,9.995990991592407e-01
4.281332398719396e-06,9.995654225349426e-01
4.641588833612773e-06,9.995243549346924e-01
5.032159359259988e-06,9.994893670082092e-01
5.455594781168514e-06,9.994418025016785e-01
5.914660544591746e-06,9.994034171104431e-01
6.412354795576917e-06,9.993351697921753e-01
6.951927961775606e-06,9.992951154708862e-01
7.536903980898542e-06,9.992299079895020e-01
8.171103315457188e-06,9.991645812988281e-01
8.858667904100815e-06,9.991087913513184e-01
9.604088212505370e-06,9.990098476409912e-01
1.041223256048304e-05,9.989443421363831e-01
1.128837891684688e-05,9.988440871238708e-01
1.223824936968192e-05,9.987496733665466e-01
1.326804749714724e-05,9.986369609832764e-01
1.438449888287663e-05,9.985185861587524e-01
1.559489504058283e-05,9.984138607978821e-01
1.690714103473578e-05,9.982661604881287e-01
1.832980710832434e-05,9.981322288513184e-01
1.987218465488053e-05,9.979699850082397e-01
2.154434690031882e-05,9.978048205375671e-01
2.335721469090121e-05,9.976156353950500e-01
2.532262781698795e-05,9.973964691162109e-01
2.745342233838714e-05,9.971910715103149e-01
2.976351441631313e-05,9.969754219055176e-01
3.226799119945805e-05,9.967231750488281e-01
3.498320935775033e-05,9.964431524276733e-01
3.792690190732246e-05,9.961373805999756e-01
4.111829402435829e-05,9.958325028419495e-01
4.457822860419707e-05,9.954469799995422e-01
4.832930238571752e-05,9.950975775718689e-01
5.239601353002644e-05,9.946963787078857e-01
5.680492161728429e-05,9.942116141319275e-01
6.158482110660255e-05,9.937381148338318e-01
6.676692939187557e-05,9.932006597518921e-01
7.238509068173247e-05,9.926384687423706e-01
7.847599703514606e-05,9.920422434806824e-01
8.507942799627444e-05,9.913442134857178e-01
9.223851039358476e-05,9.906311035156250e-01
1.000000000000000e-04,9.898806810379028e-01
1.084145868935833e-04,9.889838695526123e-01
1.175372265130634e-04,9.881008267402649e-01
1.274274985703132e-04,9.871356487274170e-01
1.381499961638321e-04,9.860111474990845e-01
1.497747476345200e-04,9.848904609680176e-01
1.623776739188721e-04,9.835882782936096e-01
1.760410843865552e-04,9.822590947151184e-01
1.908542144006686e-04,9.807964563369751e-01
2.069138081114790e-04,9.791574478149414e-01
2.243247502898416e-04,9.774634838104248e-01
2.432007513267945e-04,9.755188226699829e-01
2.636650898730356e-04,9.735448360443115e-01
2.858514179684471e-04,9.714156985282898e-01
3.099046339199427e-04,9.690619111061096e-01
3.359818286283781e-04,9.664909839630127e-01
3.642533115449638e-04,9.637305140495300e-01
3.949037229576694e-04,9.608289599418640e-01
4.281332398719387e-04,9.576449990272522e-01
4.641588833612772e-04,9.541876912117004e-01
5.032159359259988e-04,9.505125880241394e-01
5.455594781168515e-04,9.465009570121765e-01
5.914660544591746e-04,9.422962069511414e-01
6.412354795576917e-04,9.376249313354492e-01
6.951927961775605e-04,9.325484037399292e-01
7.536903980898542e-04,9.271196722984314e-01
8.171103315457186e-04,9.214549660682678e-01
8.858667904100814e-04,9.154197573661804e-01
9.604088212505369e-04,9.087893366813660e-01
1.041223256048304e-03,9.016682505607605e-01
1.128837891684688e-03,8.940524458885193e-01
1.223824936968192e-03,8.860040903091431e-01
1.326804749714724e-03,8.770807385444641e-01
1.438449888287660e-03,8.680686950683594e-01
1.559489504058280e-03,8.581138849258423e-01
1.690714103473578e-03,8.474290966987610e-01
1.832980710832434e-03,8.364573121070862e-01
1.987218465488053e-03,8.246244192123413e-01
2.154434690031882e-03,8.122034072875977e-01
2.335721469090121e-03,7.990329861640930e-01
2.532262781698795e-03,7.847725749015808e-01
2.745342233838714e-03,7.699740529060364e-01
2.976351441631313e-03,7.544771432876587e-01
3.226799119945805e-03,7.382827401161194e-01
3.498320935775033e-03,7.210912704467773e-01
3.792690190732246e-03,7.035717964172363e-01
4.111829402435829e-03,6.854252815246582e-01
4.457822860419706e-03,6.661763191223145e-01
4.832930238571752e-03,6.462790966033936e-01
5.239601353002634e-03,6.263872385025024e-01
5.680492161728417e-03,6.052513122558594e-01
6.158482110660254e-03,5.838104486465454e-01
6.676692939187556e-03,5.622663497924805e-01
7.238509068173248e-03,5.401558279991150e-01
7.847599703514606e-03,5.175828933715820e-01
8.507942799627445e-03,4.954190850257874e-01
9.223851039358476e-03,4.729086756706238e-01
1.000000000000000e-02,4.505104422569275e-01
1.084145868935833e-02,4.282355904579163e-01
1.175372265130637e-02,4.061986207962036e-01
1.274274985703132e-02,3.844497799873352e-01
1.381499961638324e-02,3.633099198341370e-01
1.497747476345200e-02,3.426944613456726e-01
1.623776739188718e-02,3.226621150970459e-01
1.760410843865553e-02,3.032938241958618e-01
1.908542144006682e-02,2.846088409423828e-01
2.069138081114790e-02,2.667482495307922e-01
2.243247502898416e-02,2.495051622390747e-01
2.432007513267950e-02,2.335672378540039e-01
2.636650898730356e-02,2.178665995597839e-01
2.858514179684466e-02,2.030312418937683e-01
3.099046339199427e-02,1.891682744026184e-01
3.359818286283774e-02,1.762172579765320e-01
3.642533115449638e-02,1.640027165412903e-01
3.949037229576693e-02,1.524996161460876e-01
4.281332398719396e-02,1.416959166526794e-01
4.641588833612773e-02,1.315521597862244e-01
5.032159359259978e-02,1.219948530197144e-01
5.455594781168514e-02,1.132126450538635e-01
